id,diet_type,protein,carbs,fat
,paleo,109.97,342.18,267.62
,paleo,76.25,59.59,119.56
,paleo,106.52,38.99,136.13
,paleo,39.51,390.78,125.83
,paleo,37.87,78.72,76.18
,paleo,119.06,196.4,78.45
,paleo,76.95,440.95,38.48
,paleo,401.69,121.06,139.12
,paleo,269.34,125.64,294.69
,paleo,18.06,64.11,53.22
,paleo,21.57,53.33,61.7
,paleo,69.49,539.28,261.39
,paleo,160.42,229.01,71.05
,paleo,96.02,119.74,160.31
,paleo,264.42,103.62,53.3
,paleo,213.27,102.46,223.15
,paleo,68.1,167.94,194.8
,paleo,138.21,63.62,412.64
,paleo,14.52,183.36,14.79
,paleo,7.28,129.89,17.14
,paleo,228.34,43.52,254.6
,paleo,83.95,55.81,106.65
,paleo,62.8,401.12,322.08
,paleo,134.16,102.85,229.66
,paleo,43.68,202.08,326.55
,paleo,27.51,196.21,99.15
,paleo,170.51,373.02,129.07
,paleo,99.35,18.37,59.84
,paleo,93.25,154.98,219.75
,paleo,331.51,114.76,148.97
,paleo,60.6,81.73,167.05
,paleo,0.9,54.56,2.64
,paleo,169.37,36.63,87.69
,paleo,55.86,114.48,45.35
,paleo,85.89,119.62,200.22
,paleo,6.57,43.3,50.35
,paleo,64.53,66.96,87.66
,paleo,45.65,218.51,201.1
,paleo,145.17,73.29,215.96
,paleo,3.28,107.24,0.73
,paleo,25.33,57.48,97.11
,paleo,134.66,68.36,106.66
,paleo,91.33,107.34,96.42
,paleo,81.13,112.58,113.68
,paleo,94.02,11.86,99.36
,paleo,109.75,71.12,269.2
,paleo,7.84,117.07,3.42
,paleo,76.19,8.31,153.07
,paleo,188.18,157.29,267.62
,paleo,43.32,176.95,400.96
,paleo,8.34,67.08,85.75
,paleo,35.46,39.47,97.69
,paleo,153.16,142.11,192.3
,paleo,248.4,78.44,162.33
,paleo,51.65,88.86,137.28
,paleo,11.33,29.24,15.9
,paleo,322.74,131.92,284
,paleo,79.44,94.82,134.03
,paleo,189.59,221.23,116.19
,paleo,326.04,104.56,155.59
,paleo,129.5,391.87,152.99
,paleo,23.34,4.53,17.99
,paleo,215.7,128.63,216.47
,paleo,496.2,2023.05,211.1
,paleo,11.33,29.24,15.9
,paleo,37.99,118.13,102.82
,paleo,171.73,52.28,107.51
,paleo,18.18,90.26,1.62
,paleo,74.19,289.85,81.62
,paleo,274.38,240.62,219.7
,paleo,2.41,5.63,92.42
,paleo,46.37,12.17,56.94
,paleo,1.67,38.66,82.05
,paleo,161.98,20.54,307.48
,paleo,6.02,19,18.58
,paleo,123.49,333.49,133.61
,paleo,189.23,75.63,35.1
,paleo,56.28,5.32,47.74
,paleo,140.43,80.35,297.8
,paleo,52.06,181.35,205.06
,paleo,89.94,54.81,119.82
,paleo,109.12,94.35,95.42
,paleo,133.75,39.86,157.09
,paleo,8.53,210.51,9.79
,paleo,97.03,203.4,62.14
,paleo,12.26,45.88,30.15
,paleo,21.11,155.62,225.04
,paleo,33.66,81.57,148.1
,paleo,13,107.78,15.66
,paleo,83.4,29.79,24.43
,paleo,17.65,293.51,94.4
,paleo,83.81,336.47,357.93
,paleo,1142.58,693.64,287.86
,paleo,22.62,127.17,104.56
,paleo,245.48,17.89,340.43
,paleo,24.46,27.76,27.96
,paleo,7.26,35.93,11.89
,paleo,75.17,48.1,183.37
,paleo,88.13,161.76,115.41
,paleo,12.17,97.45,76.12
,paleo,75.26,371.75,313.13
,paleo,112.99,285.71,98.15
,paleo,13.37,37.94,68.16
,paleo,31.36,15.7,39.44
,paleo,105.57,129.65,146.59
,paleo,72.14,306.66,36.59
,paleo,146.61,79.92,50.85
,paleo,69.78,25.2,204.3
,paleo,97.13,35.1,101.67
,paleo,170.68,144.12,180.71
,paleo,194.67,26.26,91.92
,paleo,22.64,205.97,170.65
,paleo,34.18,10.4,69.54
,paleo,25.78,17.19,40.92
,paleo,150.64,79.08,369.91
,paleo,11.61,39.2,41.13
,paleo,12.34,39.51,16.73
,paleo,42.76,169.71,181.61
,paleo,70.14,355.31,243.28
,paleo,92.31,26.34,2.46
,paleo,60.01,22.5,112.86
,paleo,52.87,4.1,29.95
,paleo,145.04,1545.27,177.4
,paleo,60.92,6.01,118.36
,paleo,242.04,87.12,190.75
,paleo,39.65,23.86,56.1
,paleo,250.91,134.81,185.31
,paleo,147.55,133.02,214.67
,paleo,4.45,56.47,1.76
,paleo,103.94,25.78,75.84
,paleo,91.36,208.4,50.82
